Idea,Copy,Media,Link
Challenges building AI agents and value of text embedding systems. Share video.,"Here’s the problem with building an AI agent… 

Although there’s a lot of excitement (and innovation) about AI agents these days, this technology is still in its early stages. 

Therefore, building a robust agent (i.e., not a prototype) is still an expensive and non-trivial engineering problem ❌ 

However, there is another technology that enables the development of simpler and cheaper AI systems while still capturing much of the value. 

I’m talking about Text Embeddings 😮 In my latest YouTube video, I give a beginner-friendly introduction to text embeddings and share 2 relatively simple (yet high-value) use cases. 

Check it out and let me know what you think 👇",Video link,https://www.linkedin.com/posts/shawhintalebi_text-embeddings-classification-and-semantic-activity-7181648972111835137-XHFB?utm_source=share&utm_medium=member_desktop
Recap of past 12 months on my 29th bday,"I turned 29 today. 

28 was wild… here are some things that happened. 

>> 1.2M people watched my YouTube videos 
>> My YT channel went from 2k —> 31k subs 
>> 600 people joined The Data Entrepreneurs Discord 
>> I started a podcast with Ifeoma Ahuna 

But most importantly… 
>> I survived my 1st year of entrepreneurship! 

While this past year has been harder than I expected (emotionally), going down this path is the best decision I’ve made in my 29 years of life. 

Entrepreneurship allows me to live a life better aligned with my values (relationships, growth, and freedom), which I feel is key to a fulfilling life. 

Excited to see where Year 2 takes me (other than turning 30 😅)",Image,https://www.linkedin.com/posts/shawhintalebi_i-turned-29-today-28-was-wild-here-are-activity-7226591975460757504-BqBb?utm_source=share&utm_medium=member_desktop
Don’t build a chatbot and 5 LLM use case ideas.,"Don’t use AI to build a chatbot 🤖 

❌ Although ChatGPT (and friends) has captured the world’s imagination regarding AI, the business value of building an ""AI chatbot"" may not justify the cost. 

Here are 5 better LLM use cases for business 👇 

1) Structure unstructured data—format data from inconvenient sources into a structured database 

2) Standardize data—resolve conflicts between databases and make it analytics-ready 

3) Data augmentation—enrich existing datasets with meta-tags and other information 

4) Data generation—create synthetic datasets for developing custom AI solutions 

5) Semantic search—improve existing search functions using text embeddings 🤔 

What am I missing here? 

#LLM #AI #datascience",None,https://www.linkedin.com/posts/shawhintalebi_llm-ai-datascience-activity-7171517665730056192-nYng?utm_source=share&utm_medium=member_desktop
Importance of problem discovery for data scientists and sharing blog post,"Data science is more than just training fancy machine learning models. 

When you boil it down, the ultimate goal is to solve problems. 

Since, as data scientists, we typically don’t solve our own problems, the ability to communicate and learn from stakeholders is a critical skill set. 

👉 In my latest article, I lay out 5 “problem discovery” questions that every data scientist should hardcode into their brain. 

These questions are the product of 10 interviews with seasoned data freelancers on their approach to these conversations and 25 discovery calls of my own. 

Here’s the list 👇 

What problem are you trying to solve? 
Why...? 
What’s your dream outcome? 
What have you tried so far? 
Why me? 

Anything to add? 🤔 

#datascience #consulting #freelance",Blog link,https://www.linkedin.com/posts/shawhintalebi_5-questions-every-data-scientist-should-hardcode-activity-7145811689567887360-aGqL?utm_source=share&utm_medium=member_desktop
10 AI buzzwords explained,"AI seems to be riddled with buzzwords these days. 

Here are 10 common AI terms every practitioner should know... 

1) RAG = automatically providing relevant context (i.e. docs) to an AI system so it can generate better responses
2) Vector DB = numerical representations of documents which can be used for RAG and search 
3) Fine-tuning = adapting a model to a particular use case through additional training 
4) AI Agent = an AI system that can plan and execute tasks 
5) Evals = tests that score an AI system’s efficacy 
6) Hallucination = a ""made-up"" response from an AI that sounds reasonable 
7) Multimodal = data of different formats (e.g. text, images, audio, videos, tables, time series) 
8) Small Language Models = LLMs with ~1B parameters 
9) Quantization = reducing the precision of model parameters to reduce its size 
10) Distillation = using a large model to train a smaller one 

—

 What's missing from this list?",Notes screenshot,https://www.linkedin.com/posts/shawhintalebi_ai-seems-to-be-riddled-with-buzzwords-these-activity-7269387856794542081-qoBg?utm_source=share&utm_medium=member_desktop
What does a data scientist (actually) do? Share Tik Tok,"12 years ago, “Data Scientist” was the sexiest job of the century. 

Today, it’s still an in-demand role, offering cushy salaries… 

But what do they actually do? 

In my view, the main job of a data scientist is to answer questions using data. 

This consists of 4 key activities 👇 

1) Have a question to answer—this typically comes from clients and business stakeholders. 

2) Acquiring the relevant data—this is the boring yet most important part. 

3) Analyzing data—once the data are in a usable form, data scientists use tools like Python or R to compute statistics and create data visualizations. 

4) Build models—we can use data to construct predictive models to solve problems and support decision-making.",Video,https://www.linkedin.com/posts/shawhintalebi_12-years-ago-data-scientist-was-the-sexiest-activity-7221146459902029825-rhb7?utm_source=share&utm_medium=member_desktop
How data scientists and ML engineers can monetize their technical skills and share video,"Data scientists and ML engineers might think that a full-time job is the only way to monetize their specialized skill sets. 

Over the past few years, I’ve realized the wide range of opportunities for data and ML people. 

In a recent YouTube video, I broke down 9 different ways I made money using my data science skills this past year. 

I hope sharing my experience helps those who are seeking a non-traditional career path or just looking to diversify their income stream. 

Here’s the link: https://lnkd.in/gqZQhDWd",Image,https://www.linkedin.com/posts/shawhintalebi_data-scientists-and-ml-engineers-might-think-activity-7247966517642870784-kbWq?utm_source=share&utm_medium=member_desktop
Hitting 1M views on YouTube,"This has been a month of milestones for my YouTube channel. 

Last week, I crossed 1,000,000 views 🤯… a number too big to fully comprehend.

I started this journey by making content that would have been helpful to a past version of myself. 

And as a Physics PhD student, I didn’t think that would be relevant to a lot of people 😅 

But, to my surprise, it seems there are many people (not just PhD students) who have an appetite for learning about data science and AI. 

Which makes me pretty lucky 😁 

Thank you to everyone who watched 🙏.. 

.. Next stop 10M??",Image,https://www.linkedin.com/posts/shawhintalebi_this-has-been-a-month-of-milestones-for-my-activity-7201230364743245824-_myX?utm_source=share&utm_medium=member_desktop
5 AI projects you can build this weekend,"The best way to learn AI is by building projects… but what do I build? 

Here are 5 AI project ideas you can implement this weekend (with Python). 

1. Resume Optimization (Beginner) 👨🏻‍💼 

Use OpenAI’s Python API to adapt your resume to specific job descriptions. 

Lib: openai 

2. YouTube Lecture Summarizer (Beginner) 🎥 

Take those (long) ML lectures collecting dust in your ""watch later"", and summarize them to see if they're worth keeping around. 

Libs: openai, youtube-transcript-api 

3. Automatically Organizing PDFs (Intermediate) 📄 

If you’re like me and have an unreasonable number of unread research papers (118) on your desktop, you can build a tool to generate text embeddings for each file and use a simple clustering algorithm to organize them into folders. 

Libs: sentence_transformers, sklearn 

4. Multimodal Semantic Search (Intermediate) 🔍 

Searching text is easy… but what about videos and images? Now, you can use multimodal embedding models to embed text and images in the same space for search. 

Libs: transformers Model: nomic-ai/nomic-embed-text-v1.5 

5. Desktop QA (Advanced) 💬 

You can connect a multimodal knowledge base to a model like Llama-3.2-11B-Vision to do question-answering. 

Libs: transformers, together (Llama-3.2-vision is free until 2025) 

Drop a comment if you want me to flesh any of these out 👇",Notes screenshot,https://www.linkedin.com/posts/shawhintalebi_the-best-way-to-learn-ai-is-by-building-projects-activity-7249059269679972352-IraN?utm_source=share&utm_medium=member_desktop
How I’d learn AI if I started over today.,"AI has changed a lot since I started 5 years ago. 

Here’s how I’d learn it if I had to start over… 

1. Learn Python 

Although some say you don’t need to learn to code anymore, I still think it’s essential for anyone who wants to build custom software solutions. 

2. Build Projects 

The AI space is too massive and evolving too quickly to effectively learn from a textbook. The best approach (IMO) is to start by building projects and learning concepts as needed. 

3. Start with Kaggle/HF Datasets 

While you’ll never find neatly curated data in the real world, I think using resources like Kaggle or Hugging Face is a great starting place for beginners. 

Some libraries worth learning for this initial project are: Pandas (or Polars), matplotlib, and sklearn 

4. Find a real-world project 

After one or two toy projects, it’s time to start working on something more practical. 

The best projects solve a real-world problem. I’d seek one out by reaching out to businesses or other orgs in my network to see if I could offer them free work. 

5. Use ChatGPT and Cursor 

AI coding assistants have become the norm for programming. Use them to help you learn faster and get you unblocked as needed.",Notes screenshot,https://www.linkedin.com/posts/shawhintalebi_ai-has-changed-a-lot-since-i-started-5-years-activity-7257390312480727040-HQuz?utm_source=share&utm_medium=member_desktop
